"","drug_name","category1","category2"
"49","carfilzomib","Metabolic Enzyme/Protease, Autophagy, Apoptosis","Proteasome, Autophagy, Apoptosis"
"50","lenalidomide","PROTAC, Apoptosis","Ligands for E3 Ligase, Molecular Glues, Apoptosis"
"51","panobinostat","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Anti-infection, Apoptosis","HDAC, Autophagy, HIV, Apoptosis"
"52","cabozantinib","Protein Tyrosine Kinase/RTK, Apoptosis","VEGFR, c-Met/HGFR, c-Kit, TAM Receptor, FLT3, Apoptosis"
"53","luteolin","NF-κB, Apoptosis, Autophagy, Metabolic Enzyme/Protease","Keap1-Nrf2, Apoptosis, Autophagy, Endogenous Metabolite"
"54","colchicine","Cell Cycle/DNA Damage, Cytoskeleton, Autophagy, Apoptosis","Microtubule/Tubulin, Autophagy, Apoptosis"
"55","alisertib","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Apoptosis","Aurora Kinase, Autophagy, Apoptosis"
"56","gsk2606414","Cell Cycle/DNA Damage, Autophagy, Apoptosis","PERK, Autophagy, Apoptosis"
"57","entinostat","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Apoptosis","HDAC, Autophagy, Apoptosis"
"58","c646","Epigenetics, Autophagy, Apoptosis","Histone Acetyltransferase, Autophagy, Epigenetic Reader Domain, Apoptosis"
"59","metronidazole","Anti-infection, Apoptosis","Bacterial, Parasite, Apoptosis, Antibiotic"
"60","sulfasalazine","NF-κB, Autophagy, Apoptosis, Anti-infection","NF-κB, Autophagy, Apoptosis, Ferroptosis, Bacterial, Antibiotic"
"61","selumetinib","MAPK/ERK Pathway, Apoptosis","MEK, Apoptosis"
"62","dinaciclib","Cell Cycle/DNA Damage, Apoptosis","CDK, Apoptosis"
"63","tanespimycin","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease, Autophagy, Anti-infection, Apoptosis","HSP, Autophagy, Mitophagy, Bacterial, Apoptosis, Antibiotic"
"64","hydroxyurea","Cell Cycle/DNA Damage, Autophagy, Apoptosis, Anti-infection","DNA/RNA Synthesis, Autophagy, Apoptosis, HIV, Orthopoxvirus"
"65","erdafitinib","Protein Tyrosine Kinase/RTK, Apoptosis","FGFR, Apoptosis"
"66","gdc-0068","PI3K/Akt/mTOR, Apoptosis","Akt, Apoptosis"
"67","kaempferol","Vitamin D Related/Nuclear Receptor, Autophagy, Apoptosis, Anti-infection, Metabolic Enzyme/Protease","Estrogen Receptor/ERR, Autophagy, Mitophagy, Apoptosis, HIV, Parasite, Endogenous Metabolite"
"68","romidepsin","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","HDAC, Apoptosis"
"69","abt-737","Apoptosis, Autophagy","Bcl-2 Family, Apoptosis, Autophagy, Mitophagy"
"70","triptolide","NF-κB, Apoptosis","NF-κB, Apoptosis"
"71","aspirin","Induced Disease Models Products, Immunology/Inflammation, Anti-infection, NF-κB, Autophagy, Apoptosis, MAPK/ERK Pathway","Immunology and Inflammatory Disease Models, Digestive System Disease Models, COX, Virus Protease, NF-κB, Autophagy, Apoptosis, Mitophagy, Caspase, p38 MAPK"
"72","fedratinib","Epigenetics, Stem Cell/Wnt, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling, Apoptosis","JAK, Apoptosis"
"73","nvp-bgj398","Protein Tyrosine Kinase/RTK, Apoptosis","FGFR, Apoptosis"
"74","genistein","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis, Metabolic Enzyme/Protease","EGFR, Autophagy, Apoptosis, Endogenous Metabolite"
"75","cobimetinib","MAPK/ERK Pathway, Apoptosis","MEK, Apoptosis"
"76","birinapant","Apoptosis, Anti-infection","IAP, Apoptosis, HIV"
"77","icg-001","Stem Cell/Wnt, Apoptosis","β-catenin, Apoptosis"
"78","capecitabine","Cell Cycle/DNA Damage, Apoptosis","DNA/RNA Synthesis, Nucleoside Antimetabolite/Analog, Apoptosis"
"79","gsk-j4","Epigenetics, Apoptosis","Histone Demethylase, Apoptosis"
"80","cilengitide","Cytoskeleton, Autophagy, Apoptosis, JAK/STAT Signaling, Stem Cell/Wnt, Immunology/Inflammation","Integrin, Autophagy, Apoptosis, STAT, PD-1/PD-L1"
"81","lorlatinib","Protein Tyrosine Kinase/RTK, Apoptosis","Anaplastic lymphoma kinase (ALK), ROS Kinase, Apoptosis"
"82","ap1903","Apoptosis, Immunology/Inflammation, Autophagy","FKBP, Apoptosis"
"83","buparlisib","PI3K/Akt/mTOR, Apoptosis","PI3K, Apoptosis"
"84","midostaurin","Epigenetics, TGF-beta/Smad, Protein Tyrosine Kinase/RTK, Immunology/Inflammation, Apoptosis","PKC, VEGFR, c-Kit, NO Synthase, Apoptosis"
"85","bardoxolone-methyl","NF-κB, Autophagy, Apoptosis","Keap1-Nrf2, Autophagy, Apoptosis, Ferroptosis"
"86","adenosine","Cell Cycle/DNA Damage, Autophagy, Apoptosis, Metabolic Enzyme/Protease","Nucleoside Antimetabolite/Analog, Autophagy, Apoptosis, Endogenous Metabolite"
"87","mitoxantrone","Cell Cycle/DNA Damage, TGF-beta/Smad, Epigenetics, Anti-infection, Apoptosis, Metabolic Enzyme/Protease","Topoisomerase, PKC, Orthopoxvirus, Apoptosis, Endogenous Metabolite"
"88","cpi-613","Apoptosis, Metabolic Enzyme/Protease","Apoptosis, Mitochondrial Metabolism"
"89","quizartinib","Protein Tyrosine Kinase/RTK, PROTAC, Apoptosis, Autophagy","FLT3, Ligands for Target Protein for PROTAC, Apoptosis, Autophagy"
"90","orlistat","Metabolic Enzyme/Protease, Apoptosis","Fatty Acid Synthase (FASN), Apoptosis"
"91","copanlisib","PI3K/Akt/mTOR, Apoptosis","PI3K, Apoptosis"
"92","ritonavir","Anti-infection, Metabolic Enzyme/Protease, Apoptosis","HIV Protease, HIV, SARS-CoV, Apoptosis"
"93","rta-408","NF-κB, Immunology/Inflammation, Apoptosis","Keap1-Nrf2, STING, Apoptosis"
"94","capsazepine","Membrane Transporter/Ion Channel, Neuronal Signaling, Apoptosis","TRP Channel, Apoptosis"
"95","bi-2536","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","Polo-like Kinase (PLK), Epigenetic Reader Domain, Apoptosis"
"96","deferiprone","Apoptosis, Anti-infection, Immunology/Inflammation","Ferroptosis, HCV, Apoptosis, COX"
"97","volasertib","Cell Cycle/DNA Damage, Apoptosis","Polo-like Kinase (PLK), Apoptosis"
"98","chloramphenicol","Anti-infection, Metabolic Enzyme/Protease, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis, MAPK/ERK Pathway, PI3K/Akt/mTOR","Antibiotic, Bacterial, HIF/HIF Prolyl-Hydroxylase, VEGFR, Autophagy, Apoptosis, Beclin1, JNK, Akt, MMP"
"99","2-methoxyestradiol","Cytoskeleton, Cell Cycle/DNA Damage, NF-κB, Immunology/Inflammation, Apoptosis, Autophagy, Metabolic Enzyme/Protease","Microtubule/Tubulin, Reactive Oxygen Species, Apoptosis, Autophagy, Endogenous Metabolite"
"100","gdc-0941","PI3K/Akt/mTOR, Autophagy, Apoptosis","PI3K, Autophagy, Apoptosis"
"101","salidroside","PI3K/Akt/mTOR, Apoptosis, Metabolic Enzyme/Protease","mTOR, Apoptosis, Prolyl Endopeptidase (PREP)"
"102","ly2606368","Cell Cycle/DNA Damage, Apoptosis","Checkpoint Kinase (Chk), Apoptosis"
"103","ganetespib","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease, Apoptosis","HSP, Apoptosis"
"104","spautin-1","Autophagy, Apoptosis, Cell Cycle/DNA Damage","Autophagy, Apoptosis, Deubiquitinase"
"105","salubrinal","Metabolic Enzyme/Protease, Anti-infection, Autophagy, Apoptosis","Phosphatase, HSV, Autophagy, Apoptosis"
"106","tpca-1","NF-κB, Stem Cell/Wnt, JAK/STAT Signaling, Apoptosis","IKK, STAT, Apoptosis"
"107","rutin","Neuronal Signaling, Autophagy, Apoptosis, Metabolic Enzyme/Protease","Amyloid-β, Autophagy, Apoptosis, Endogenous Metabolite"
"108","ciprofloxacin","Cell Cycle/DNA Damage, Apoptosis, Anti-infection, Metabolic Enzyme/Protease, NF-κB, Immunology/Inflammation","Topoisomerase, Apoptosis, Antibiotic, Bacterial, Mitochondrial Metabolism, Reactive Oxygen Species"
"109","diclofenac","Induced Disease Models Products, Immunology/Inflammation, Apoptosis","Immunology and Inflammatory Disease Models, COX, Apoptosis"
"110","lithocholic-acid","Induced Disease Models Products, Autophagy, Metabolic Enzyme/Protease, Apoptosis","Immunology and Inflammatory Disease Models, Autophagy, Endogenous Metabolite, Apoptosis, FXR"
"111","temsirolimus","PI3K/Akt/mTOR, Autophagy, Apoptosis, Anti-infection","mTOR, Autophagy, Apoptosis, Bacterial"
"112","torin-2","PI3K/Akt/mTOR, Cell Cycle/DNA Damage, Autophagy, Apoptosis","mTOR, DNA-PK, Autophagy, Apoptosis"
"113","acy-1215","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","HDAC, Apoptosis"
"114","troglitazone","Cell Cycle/DNA Damage, Vitamin D Related/Nuclear Receptor, Autophagy, Apoptosis","PPAR, Autophagy, Apoptosis, Ferroptosis"
"115","betulinic-acid","Apoptosis, Cell Cycle/DNA Damage, Anti-infection, Autophagy, NF-κB, Metabolic Enzyme/Protease","Apoptosis, Topoisomerase, HIV, Autophagy, Mitophagy, NF-κB, Endogenous Metabolite, Parasite"
"116","thalidomide","PROTAC, Autophagy, Apoptosis, Anti-infection","Ligands for E3 Ligase, Molecular Glues, Autophagy, Apoptosis, Bacterial"
"117","edaravone","Metabolic Enzyme/Protease, Apoptosis","MMP, Apoptosis"
"118","prednisone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Apoptosis","Glucocorticoid Receptor, Apoptosis"
"119","nvp-auy922","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease, Autophagy, Apoptosis","HSP, Autophagy, Apoptosis"
"120","pf-573228","Protein Tyrosine Kinase/RTK, Apoptosis","FAK, Apoptosis"
"121","ttnpb","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy, Apoptosis","RAR/RXR, Autophagy, Apoptosis"
"122","myricetin","Apoptosis, Autophagy, Metabolic Enzyme/Protease","Apoptosis, Autophagy, Endogenous Metabolite"
"123","alda-1","Metabolic Enzyme/Protease, Apoptosis","Aldehyde Dehydrogenase (ALDH), Apoptosis"
"124","nms-1286937","Cell Cycle/DNA Damage, Apoptosis","Polo-like Kinase (PLK), Apoptosis"
"125","cyt387","Epigenetics, Stem Cell/Wnt, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling, Autophagy, Apoptosis","JAK, Autophagy, Apoptosis"
"126","tubastatin-a","Anti-infection, Cell Cycle/DNA Damage, Epigenetics, Autophagy, Apoptosis","Beta-lactamase, HDAC, Autophagy, Apoptosis"
"127","barasertib-hqpa","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","Aurora Kinase, Apoptosis"
"128","dacomitinib","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Apoptosis","EGFR, Apoptosis"
"129","wp1066","JAK/STAT Signaling, Stem Cell/Wnt, Protein Tyrosine Kinase/RTK, Epigenetics, Apoptosis","STAT, JAK, Apoptosis"
"130","formononetin","Protein Tyrosine Kinase/RTK, Apoptosis","FGFR, Apoptosis"
"131","eltrombopag","Immunology/Inflammation, Anti-infection, Apoptosis","Thrombopoietin Receptor, Bacterial, Apoptosis"
"132","sm-164","Apoptosis","IAP, Apoptosis"
"133","sildenafil","Metabolic Enzyme/Protease, Autophagy, Apoptosis, Anti-infection","Phosphodiesterase (PDE), Autophagy, Apoptosis, Bacterial"
"134","quinidine","Membrane Transporter/Ion Channel, Metabolic Enzyme/Protease, Apoptosis, Anti-infection","Potassium Channel, Cytochrome P450, Apoptosis, Parasite"
"135","acyclovir","Anti-infection, Apoptosis","HSV, Apoptosis, Antibiotic, Bacterial"
"136","nobiletin","Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease, Immunology/Inflammation, NF-κB, Apoptosis, Autophagy","ROR, Reactive Oxygen Species, Apoptosis, Autophagy"
"137","sgi-1027","Epigenetics, Apoptosis","DNA Methyltransferase, Apoptosis"
"138","azd5582","Apoptosis","IAP, Apoptosis"
"139","metoprolol","GPCR/G Protein, Neuronal Signaling, Apoptosis","Adrenergic Receptor, Apoptosis"
"140","mycophenolic-acid","Apoptosis, Anti-infection, Metabolic Enzyme/Protease","Dengue virus, Apoptosis, Bacterial, Fungal, Endogenous Metabolite, Antibiotic, Flavivirus"
"141","rosmarinic-acid","Neuronal Signaling, Metabolic Enzyme/Protease, Apoptosis","Monoamine Oxidase, COMT, Apoptosis, Endogenous Metabolite"
"142","rrx-001","Apoptosis, Anti-infection","Apoptosis, Parasite"
"143","larotrectinib","Neuronal Signaling, Protein Tyrosine Kinase/RTK, Apoptosis","Trk Receptor, Apoptosis"
"144","r406","Protein Tyrosine Kinase/RTK, Apoptosis","Syk, FLT3, Apoptosis"
"145","barasertib","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","Aurora Kinase, Apoptosis"
"146","lonidamine","Metabolic Enzyme/Protease, Apoptosis, Anti-infection","Hexokinase, Mitochondrial Metabolism, Apoptosis, Parasite"
"147","floxuridine","Cell Cycle/DNA Damage, Anti-infection, Apoptosis","Nucleoside Antimetabolite/Analog, DNA/RNA Synthesis, Bacterial, CMV, HSV, Apoptosis"
"148","vandetanib","Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","VEGFR, Autophagy, Apoptosis"
"149","pi-103","PI3K/Akt/mTOR, Cell Cycle/DNA Damage, Autophagy, Apoptosis","PI3K, mTOR, DNA-PK, Autophagy, Apoptosis"
"150","toyocamycin","Cell Cycle/DNA Damage, Anti-infection, Apoptosis","IRE1, Fungal, Antibiotic, Apoptosis, CDK"
"151","linifanib","Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","PDGFR, VEGFR, FLT3, c-Fms, c-Kit, Autophagy, Apoptosis"
"152","dipyridamole","Metabolic Enzyme/Protease, Apoptosis","Phosphodiesterase (PDE), Apoptosis"
"153","hesperetin","MAPK/ERK Pathway, Autophagy, Apoptosis","p38 MAPK, Autophagy, Apoptosis"
"154","ml141","GPCR/G Protein, Apoptosis","Ras, Apoptosis"
"155","apto-253","Apoptosis, MAPK/ERK Pathway","c-Myc, KLF, Apoptosis"
"156","mocetinostat","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Apoptosis","HDAC, Autophagy, Apoptosis"
"157","mevastatin","Metabolic Enzyme/Protease, Anti-infection, Autophagy, Apoptosis","HMG-CoA Reductase (HMGCR), Bacterial, Autophagy, Apoptosis, Antibiotic"
"158","wp1130","Cell Cycle/DNA Damage, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","Deubiquitinase, Bcr-Abl, Autophagy, Apoptosis"
"159","isoliquiritigenin","Metabolic Enzyme/Protease, Anti-infection, Autophagy, Apoptosis","Aldose Reductase, Influenza Virus, Autophagy, Apoptosis"
"160","ispinesib","Cell Cycle/DNA Damage, Cytoskeleton, Apoptosis","Kinesin, Apoptosis"
"161","mycophenolate-mofetil","Metabolic Enzyme/Protease, Apoptosis, Anti-infection","Drug Metabolite, Apoptosis, Endogenous Metabolite, Bacterial"
"162","oicr-9429","Epigenetics, Apoptosis","Histone Methyltransferase, Apoptosis"
"163","hesperidin","Apoptosis, Autophagy, NF-κB, Metabolic Enzyme/Protease, Immunology/Inflammation","Apoptosis, Autophagy, Reactive Oxygen Species, Endogenous Metabolite"
"164","dacarbazine","Cell Cycle/DNA Damage, Apoptosis","Nucleoside Antimetabolite/Analog, Apoptosis"
"165","enzastaurin","Epigenetics, TGF-beta/Smad, Autophagy, Apoptosis","PKC, Autophagy, Apoptosis"
"166","cladribine","Metabolic Enzyme/Protease, Apoptosis","Adenosine Deaminase, Apoptosis"
"167","apremilast","Metabolic Enzyme/Protease, Apoptosis","Phosphodiesterase (PDE), Apoptosis, TNF Receptor"
"168","macitentan","GPCR/G Protein, Apoptosis","Endothelin Receptor, Apoptosis"
"169","tiplaxtinin","Metabolic Enzyme/Protease, Apoptosis","PAI-1, Apoptosis"
"170","4egi-1","Cell Cycle/DNA Damage, Autophagy, Apoptosis","Eukaryotic Initiation Factor (eIF), Autophagy, Apoptosis"
"171","bibr-1532","Cell Cycle/DNA Damage, Apoptosis","Telomerase, Apoptosis"
"172","dcc-2618","Protein Tyrosine Kinase/RTK, Apoptosis","c-Kit, PDGFR, FLT3, VEGFR, Apoptosis"
"173","piceatannol","Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis, Metabolic Enzyme/Protease","Syk, Autophagy, Apoptosis, Endogenous Metabolite"
"174","ly2228820","MAPK/ERK Pathway, Autophagy, Apoptosis","p38 MAPK, Autophagy, Apoptosis"
"175","rebastinib","Protein Tyrosine Kinase/RTK, Apoptosis","Bcr-Abl, FLT3, Src, Apoptosis"
"176","octreotide","GPCR/G Protein, Neuronal Signaling, Apoptosis","Somatostatin Receptor, Apoptosis"
"177","polydatin","Autophagy, Apoptosis","Autophagy, Apoptosis, Mitophagy"
"178","jte-013","GPCR/G Protein, Apoptosis","LPL Receptor, Apoptosis"
"179","jnj-7706621","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","Aurora Kinase, CDK, Apoptosis"
"180","masitinib","Protein Tyrosine Kinase/RTK, Apoptosis","c-Kit, PDGFR, Src, FGFR, FAK, Apoptosis"
"181","cudc-907","PI3K/Akt/mTOR, Epigenetics, Cell Cycle/DNA Damage, Apoptosis","PI3K, HDAC, Apoptosis"
"182","arctigenin","Metabolic Enzyme/Protease, Anti-infection, Autophagy, Apoptosis","MMP, Influenza Virus, Autophagy, Apoptosis"
"183","darapladib","Metabolic Enzyme/Protease, Apoptosis","Phospholipase, Apoptosis"
"184","lidocaine","Membrane Transporter/Ion Channel, MAPK/ERK Pathway, Stem Cell/Wnt, NF-κB, Apoptosis","Sodium Channel, MEK, ERK, NF-κB, Apoptosis"
"185","degarelix","GPCR/G Protein, Apoptosis","GnRH Receptor, Apoptosis"
"186","icaritin","Autophagy, Apoptosis","Autophagy, Apoptosis"
"187","epz004777","Epigenetics, Apoptosis","Histone Methyltransferase, Apoptosis"
"188","clofarabine","Cell Cycle/DNA Damage, Autophagy, Apoptosis","Nucleoside Antimetabolite/Analog, Autophagy, Apoptosis"
"189","benzbromarone","Metabolic Enzyme/Protease, Apoptosis, Immunology/Inflammation, NF-κB, MAPK/ERK Pathway, Cell Cycle/DNA Damage","Xanthine Oxidase, Apoptosis, Interleukin Related, Keap1-Nrf2, SOD, Caspase, Bcl-2 Family, NF-κB, JNK, HSP"
"190","rhein","Autophagy, NF-κB, Metabolic Enzyme/Protease, Immunology/Inflammation, Anti-infection, Apoptosis","Autophagy, Reactive Oxygen Species, Bacterial, Apoptosis"
"191","pci-34051","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","HDAC, Apoptosis"
"192","az-628","MAPK/ERK Pathway, Apoptosis","Raf, Apoptosis"
"193","gs-9620","Immunology/Inflammation, Apoptosis, Anti-infection","Toll-like Receptor (TLR), Apoptosis, HBV, HCV, HIV"
"194","terfenadine","Membrane Transporter/Ion Channel, Neuronal Signaling, Immunology/Inflammation, GPCR/G Protein, Apoptosis","Potassium Channel, Histamine Receptor, Na+/Ca2+ Exchanger, Caspase, Apoptosis"
"195","mebendazole","Anti-infection, Apoptosis, Cytoskeleton, Cell Cycle/DNA Damage","Parasite, Apoptosis, Microtubule/Tubulin"
"196","gw-5074","MAPK/ERK Pathway, Apoptosis","Raf, Apoptosis"
